,chlorine_bacteriology_turbity_tests,colour_tests,turbity,colour,free_chlorine,total_coliforms,thermo_coliforms
1,1037.0,595,1005,582,1030.0,1011.0,1033.0
2,1017.0,515,980,495,1002.0,989.0,1013.0
3,1029.0,525,975,483,1015.0,1000.0,1029.0
4,1029.0,572,957,495,1015.0,1003.0,1026.0
5,997.0,510,936,449,984.0,952.0,994.0
6,1023.0,518,971,470,1022.0,1003.0,1022.0
7,1008.0,511,957,460,1000.0,976.0,999.0
8,1001.0,480,971,456,998.0,976.0,1000.0
9,1015.0,487,980,455,1012.0,986.0,1013.0
10,1033.0,487,996,453,1017.0,989.0,1028.0
11,981.0,495,948,480,974.0,930.0,978.0
12,1013.0,518,989,502,999.0,964.0,1011.0
